viaje_id,fecha_salida,fecha_llegada,chofer_id,vehiculo_id,n_paradas,km_ruta,carga_kg,capacidad_kg,t_est_min,t_real_min,duracion_min,peso_kg,otif,combustible_rd,viaticos_rd,mantenimiento_rd,costo_total,tipo,delta_t,ind_retraso,riesgo_cat,fill_rate,log_carga_kg,costo_km,hora_salida,dia_semana_num,es_fin_semana,mes,viajes_conductor,densidad_paradas,riesgo_num,ruta_Ruta-Este,ruta_Ruta-Norte,ruta_Ruta-Oeste,ruta_Ruta-Sur,franja_horaria_TARDE,franja_horaria_NOCHE
VJ-00011,2025-01-04 08:00:00,2025-01-04 09:21:08.879995014,CHF-009,VEH-003,2.0,36.5,1959.0,6000,75,81,81.1479999169,,1,1116.0,336.0,298.0,1750.0,Camion Mediano,6,0,BAJO,0.3265,7.580699752224563,47.945205479452056,8,5,1,1,0,0.0547945205479452,0,1,0,0,0,0,0
VJ-00012,2025-01-04 16:00:00,2025-01-04 17:31:06.993455958,CHF-002,VEH-002,11.0,22.9,1885.0,4000,60,91,91.1165575993,1885.0,0,891.0,721.0,280.0,1892.0,Camion Mediano,31,1,ALTO,0.47125,7.542213463193403,77.03203659776347,16,5,1,1,1,0.48034934497816595,2,0,0,0,0,1,0
VJ-00013,2025-01-05 00:00:00,2025-01-05 01:27:14.194355298,CHF-002,VEH-006,11.0,62.2,2476.0,6000,105,87,87.2365725883,2476.0,1,2156.0,328.0,242.0,2726.0,Camion Liviano,-18,0,BAJO,0.4126666666666667,7.814803429489359,43.82636655948553,0,6,1,1,2,0.17684887459807072,0,0,0,1,0,0,0
VJ-00014,2025-01-05 08:00:00,2025-01-05 09:40:35.099926380,CHF-010,VEH-001,7.0,60.9,2163.0,6000,105,101,100.58499877300001,2163.0,1,2274.0,440.0,385.0,3099.0,Camion Mediano,-4,0,BAJO,0.3605,7.679713639966372,50.88669950738917,8,6,1,1,1,0.11494252873563218,0,0,0,1,0,0,0
VJ-00015,2025-01-05 16:00:00,2025-01-05 17:58:59.524582146,CHF-011,VEH-004,3.0,57.7,1959.0,3500,105,119,118.9920763691,,1,1826.0,467.0,203.0,2496.0,Camion Mediano,14,0,BAJO,0.5597142857142857,7.580699752224563,43.258232235701904,16,6,1,1,1,0.05199306759098787,0,0,0,1,0,1,0
VJ-00016,2025-01-06 00:00:00,2025-01-06 01:52:49.547360424,CHF-012,VEH-008,9.0,47.4,1537.0,5000,105,113,112.8257893404,1537.0,1,1347.0,386.0,153.0,1886.0,Furgon,8,0,BAJO,0.3074,7.338238150065589,39.78902953586498,0,0,0,1,0,0.189873417721519,0,0,0,1,0,0,0
VJ-00017,2025-01-06 08:00:00,2025-01-06 09:08:13.751443074,CHF-004,VEH-006,3.0,42.3,1636.0,6000,75,68,68.2291907179,1636.0,1,1409.0,457.0,303.0,2169.0,Camion Liviano,-7,0,BAJO,0.27266666666666667,7.400620577371135,51.276595744680854,8,0,0,1,0,0.07092198581560284,0,1,0,0,0,0,0
VJ-00018,2025-01-06 16:00:00,2025-01-06 17:27:35.471198322,CHF-001,VEH-007,5.0,48.2,784.0,3500,90,88,87.59118663870001,784.0,1,1251.0,671.0,354.0,2276.0,Furgon,-2,0,BAJO,0.224,6.665683717782408,47.21991701244813,16,0,0,1,1,0.10373443983402489,0,0,1,0,0,1,0
VJ-00019,2025-01-07 00:00:00,2025-01-07 00:35:15.112526958,CHF-012,VEH-001,5.0,30.2,998.0,3500,60,35,35.2518754493,998.0,1,1130.0,307.0,112.0,1549.0,Camion Mediano,-25,0,BAJO,0.28514285714285714,6.906754778648554,51.29139072847682,0,1,0,1,1,0.16556291390728478,0,0,0,0,0,0,0
VJ-00020,2025-01-07 08:00:00,2025-01-07 09:10:42.772356510,CHF-008,VEH-002,2.0,44.2,1959.0,6000,75,71,70.71287260849999,,1,1524.0,714.0,235.0,2473.0,Camion Mediano,-4,0,BAJO,0.3265,7.580699752224563,55.95022624434389,8,1,0,1,2,0.04524886877828054,0,1,0,0,0,0,0
VJ-00021,2025-01-07 16:00:00,2025-01-07 17:10:12.301510788,CHF-003,VEH-003,10.0,41.2,1667.0,6000,75,70,70.2050251798,1667.0,1,1498.0,728.0,368.0,2594.0,Camion Mediano,-5,0,BAJO,0.2778333333333333,7.419380582918692,62.961165048543684,16,1,0,1,1,0.24271844660194172,0,1,0,0,0,1,0
VJ-00022,2025-01-08 00:00:00,2025-01-08 02:04:10.743480798,CHF-010,VEH-003,7.0,63.7,1144.0,4000,120,124,124.1790580133,1144.0,1,1931.0,486.0,325.0,2742.0,Camion Mediano,4,0,BAJO,0.286,7.0431599159883405,43.04552590266876,0,2,0,1,2,0.10989010989010989,0,0,0,0,1,0,0
VJ-00023,2025-01-08 08:00:00,2025-01-08 09:20:00.246603677,CHF-011,VEH-002,7.0,48.2,1959.0,6000,90,80,80.00411006128334,,1,1907.0,377.0,398.0,2682.0,Camion Mediano,-10,0,BAJO,0.3265,7.580699752224563,55.64315352697095,8,2,0,1,2,0.14522821576763484,0,0,1,0,0,0,0
VJ-00024,2025-01-08 16:00:00,2025-01-08 17:08:29.261604348,CHF-004,VEH-008,7.0,29.7,2767.0,6000,60,68,68.4876934058,2767.0,1,1140.0,600.0,259.0,1999.0,Furgon,8,0,BAJO,0.46116666666666667,7.92588031673756,67.30639730639732,16,2,0,1,1,0.2356902356902357,0,0,0,0,0,1,0
VJ-00025,2025-01-09 00:00:00,2025-01-09 02:03:13.733083248,CHF-010,VEH-002,2.0,43.1,1272.0,4000,105,123,123.2288847208,1272.0,0,1581.0,360.0,298.0,2239.0,Camion Mediano,18,1,MEDIO,0.318,7.149131598557407,51.94895591647332,0,3,0,1,3,0.04640371229698376,1,0,0,1,0,0,0
VJ-00026,2025-01-09 08:00:00,2025-01-09 09:47:47.863673880,CHF-010,VEH-006,6.0,52.4,2980.0,5000,105,108,107.79772789799999,2980.0,1,1463.0,482.0,191.0,2136.0,Camion Liviano,3,0,BAJO,0.596,8.000014093678072,40.76335877862596,8,3,0,1,4,0.11450381679389313,0,0,0,1,0,0,0
VJ-00027,2025-01-09 16:00:00,2025-01-09 17:21:19.896921072,CHF-007,VEH-005,7.0,35.2,3283.0,6000,75,81,81.3316153512,3283.0,1,1126.0,779.0,384.0,2289.0,Camion Liviano,6,0,BAJO,0.5471666666666667,8.096817470572319,65.02840909090908,16,3,0,1,1,0.19886363636363635,0,1,0,0,0,1,0
VJ-00028,2025-01-10 00:00:00,2025-01-10 01:00:57.407775384,CHF-008,VEH-005,5.0,21.6,2292.0,4000,60,61,60.956796256400004,2292.0,1,554.0,798.0,210.0,1562.0,Camion Liviano,1,0,BAJO,0.573,7.737616282857904,72.31481481481481,0,4,0,1,3,0.23148148148148145,0,0,0,0,0,0,0
VJ-00029,2025-01-10 08:00:00,2025-01-10 09:15:00.091144536,CHF-004,VEH-002,10.0,46.4,2507.0,5000,75,75,75.0015190756,2507.0,1,1267.0,686.0,322.0,2275.0,Camion Mediano,0,0,BAJO,0.5014,7.827240901752812,49.0301724137931,8,4,0,1,2,0.21551724137931036,0,1,0,0,0,0,0
VJ-00030,2025-01-10 16:00:00,2025-01-10 17:02:00.717323772,CHF-012,VEH-003,4.0,46.6,658.0,3500,75,62,62.0119553962,658.0,1,1642.0,455.0,221.0,2318.0,Camion Mediano,-13,0,BAJO,0.188,6.490723534502507,49.742489270386265,16,4,0,1,2,0.08583690987124463,0,1,0,0,0,1,0
VJ-00031,2025-01-11 00:00:00,2025-01-11 01:20:41.813802606,CHF-012,VEH-005,3.0,44.8,3337.0,3500,75,81,80.69689671009999,3337.0,1,1620.0,644.0,269.0,2533.0,Camion Liviano,6,0,BAJO,0.9534285714285714,8.11312710422178,56.54017857142858,0,5,1,1,3,0.06696428571428571,0,1,0,0,0,0,0
VJ-00032,2025-01-11 08:00:00,2025-01-11 09:58:14.930473716,CHF-012,VEH-003,7.0,61.3,1677.0,6000,120,118,118.2488412286,1677.0,1,2422.0,653.0,316.0,3391.0,Camion Mediano,-2,0,BAJO,0.2795,7.425357887027151,55.31810766721044,8,5,1,1,4,0.11419249592169659,0,0,0,0,1,0,0
VJ-00033,2025-01-11 16:00:00,2025-01-11 18:07:40.621773648,CHF-009,VEH-006,10.0,51.8,3272.0,4000,90,128,127.67702956080001,3272.0,0,1548.0,494.0,253.0,2295.0,Camion Liviano,38,1,ALTO,0.818,8.09346227450118,44.30501930501931,16,5,1,1,1,0.19305019305019305,2,0,1,0,0,1,0
VJ-00034,2025-01-12 00:00:00,2025-01-12 01:43:19.223294676,CHF-001,VEH-001,5.0,38.1,2237.0,5000,75,103,103.3203882446,2237.0,0,1164.0,620.0,372.0,2156.0,Camion Mediano,28,1,MEDIO,0.4474,7.71333788887187,56.58792650918635,0,6,1,1,2,0.13123359580052493,1,1,0,0,0,0,0
VJ-00035,2025-01-12 08:00:00,2025-01-12 09:06:56.714276760,CHF-005,VEH-001,2.0,29.0,514.0,6000,60,67,66.94523794599999,514.0,1,929.0,305.0,226.0,1460.0,Camion Mediano,7,0,BAJO,0.08566666666666667,6.244166900663736,50.3448275862069,8,6,1,1,1,0.06896551724137931,0,0,0,0,0,0,0
VJ-00036,2025-01-12 16:00:00,2025-01-12 17:16:15.898213530,CHF-006,VEH-006,11.0,39.5,616.0,3500,90,76,76.26497022550001,616.0,1,1100.0,405.0,294.0,1799.0,Camion Liviano,-14,0,BAJO,0.176,6.424869023905388,45.54430379746835,16,6,1,1,1,0.27848101265822783,0,0,1,0,0,1,0
VJ-00037,2025-01-13 00:00:00,2025-01-13 00:39:58.595610258,CHF-012,VEH-005,6.0,30.0,2541.0,4000,60,40,39.9765935043,2541.0,1,808.0,563.0,203.0,1574.0,Camion Liviano,-20,0,BAJO,0.63525,7.8407064517494,52.46666666666667,0,0,0,1,5,0.2,0,0,0,0,0,0,0
VJ-00038,2025-01-13 08:00:00,2025-01-13 09:21:26.434389336,CHF-007,VEH-001,3.0,28.3,2188.0,5000,60,81,81.4405731556,2188.0,0,909.0,382.0,222.0,1513.0,Camion Mediano,21,1,MEDIO,0.4376,7.691200097522863,53.46289752650176,8,0,0,1,2,0.10600706713780919,1,0,0,0,0,0,0
VJ-00039,2025-01-13 16:00:00,2025-01-13 18:04:43.769163156,CHF-007,VEH-008,8.0,53.5,580.0,5000,120,125,124.7294860526,580.0,1,1520.0,383.0,232.0,2135.0,Furgon,5,0,BAJO,0.116,6.364750756851911,39.90654205607477,16,0,0,1,3,0.14953271028037382,0,0,0,0,1,1,0
VJ-00040,2025-01-14 00:00:00,2025-01-14 01:53:38.554875660,CHF-002,VEH-001,5.0,51.7,2730.0,3500,105,114,113.642581261,2730.0,1,1812.0,718.0,138.0,2668.0,Camion Mediano,9,0,BAJO,0.78,7.912423121473705,51.60541586073501,0,1,0,1,3,0.09671179883945841,0,0,0,1,0,0,0
VJ-00041,2025-01-14 08:00:00,2025-01-14 09:00:00.000000000,CHF-010,VEH-008,11.0,44.6,3056.0,5000,90,60,60.0,3056.0,1,1407.0,795.0,128.0,2330.0,Furgon,-30,0,BAJO,0.6112,8.025189321890835,52.24215246636771,8,1,0,1,5,0.24663677130044842,0,0,1,0,0,0,0
VJ-00042,2025-01-14 16:00:00,2025-01-14 18:01:41.633560080,CHF-005,VEH-006,4.0,61.0,1989.0,3500,105,122,121.693892668,1989.0,0,2287.0,578.0,300.0,3165.0,Camion Liviano,17,1,MEDIO,0.5682857142857143,7.595889917718538,51.885245901639344,16,1,0,1,2,0.06557377049180328,1,0,0,1,0,1,0
VJ-00043,2025-01-15 00:00:00,2025-01-15 01:53:10.773965274,CHF-002,VEH-008,7.0,56.5,1897.0,5000,105,113,113.1795660879,1897.0,1,2006.0,720.0,297.0,3023.0,Furgon,8,0,BAJO,0.3794,7.5485559791698735,53.50442477876106,0,2,0,1,4,0.12389380530973451,0,0,0,1,0,0,0
VJ-00044,2025-01-15 08:00:00,2025-01-15 09:40:00.734860830,CHF-012,VEH-008,7.0,60.1,516.0,3500,120,100,100.0122476805,516.0,1,1784.0,795.0,299.0,2878.0,Furgon,-20,0,BAJO,0.14742857142857144,6.248042874508429,47.886855241264556,8,2,0,1,6,0.11647254575707154,0,0,0,0,1,0,0
VJ-00045,2025-01-15 16:00:00,2025-01-15 17:21:30.753207953,CHF-003,VEH-003,4.0,45.0,2860.0,4000,90,82,81.51255346588333,2860.0,1,1499.0,371.0,106.0,1976.0,Camion Mediano,-8,0,BAJO,0.715,7.95892649305011,43.91111111111111,16,2,0,1,2,0.08888888888888889,0,0,1,0,0,1,0
VJ-00046,2025-01-16 00:00:00,2025-01-16 01:04:44.814580704,CHF-001,VEH-007,6.0,28.2,1492.0,3500,60,65,64.7469096784,1492.0,1,1045.0,524.0,198.0,1767.0,Furgon,5,0,BAJO,0.42628571428571427,7.30854279753919,62.65957446808511,0,3,0,1,3,0.2127659574468085,0,0,0,0,0,0,0
VJ-00047,2025-01-16 08:00:00,2025-01-16 09:15:56.664142224,CHF-001,VEH-002,3.0,37.0,3136.0,6000,75,76,75.9444023704,3136.0,1,1140.0,496.0,159.0,1795.0,Camion Mediano,1,0,BAJO,0.5226666666666666,8.051022208190679,48.513513513513516,8,3,0,1,4,0.08108108108108109,0,1,0,0,0,0,0
VJ-00048,2025-01-16 16:00:00,2025-01-16 16:54:44.455119330,CHF-006,VEH-004,8.0,22.6,1619.0,4000,60,55,54.740918655499996,1619.0,1,663.0,340.0,333.0,1336.0,Camion Mediano,-5,0,BAJO,0.40475,7.3901814282264295,59.11504424778761,16,3,0,1,2,0.35398230088495575,0,0,0,0,0,1,0
VJ-00049,2025-01-17 00:00:00,2025-01-17 01:43:08.232670488,CHF-002,VEH-002,9.0,51.2,2195.0,5000,105,103,103.1372111748,2195.0,1,1804.0,678.0,358.0,2840.0,Camion Mediano,-2,0,BAJO,0.439,7.694392802629421,55.46875,0,4,0,1,5,0.17578125,0,0,0,1,0,0,0
VJ-00050,2025-01-17 08:00:00,2025-01-17 09:40:27.864431538,CHF-011,VEH-004,11.0,45.0,1311.0,3500,105,100,100.4644071923,1311.0,1,1084.0,517.0,174.0,1775.0,Camion Mediano,-5,0,BAJO,0.37457142857142856,7.179307969504034,39.44444444444444,8,4,0,1,3,0.24444444444444444,0,0,0,1,0,0,0
VJ-00051,2025-01-17 16:00:00,2025-01-17 17:47:44.767513068,CHF-007,VEH-007,5.0,45.7,982.0,3500,105,108,107.7461252178,982.0,1,1280.0,535.0,300.0,2115.0,Furgon,3,0,BAJO,0.2805714285714286,6.890609120147166,46.28008752735229,16,4,0,1,4,0.10940919037199125,0,0,0,1,0,1,0
VJ-00052,2025-01-18 00:00:00,2025-01-18 01:56:29.211330834,CHF-004,VEH-004,4.0,47.6,2825.0,3500,90,116,116.48685551390001,2825.0,0,1195.0,375.0,139.0,1709.0,Camion Mediano,26,1,MEDIO,0.8071428571428572,7.946617563244473,35.903361344537814,0,5,1,1,3,0.08403361344537814,1,0,1,0,0,0,0
VJ-00053,2025-01-18 08:00:00,2025-01-18 09:30:00.000000000,CHF-001,VEH-001,7.0,62.0,1990.0,3500,120,90,90.0,1990.0,1,2282.0,390.0,183.0,2855.0,Camion Mediano,-30,0,BAJO,0.5685714285714286,7.596392304064196,46.04838709677419,8,5,1,1,5,0.11290322580645161,0,0,0,0,1,0,0
VJ-00054,2025-01-18 16:00:00,2025-01-18 17:10:44.201714328,CHF-006,VEH-003,8.0,29.1,2109.0,3500,75,71,70.7366952388,2109.0,1,1018.0,754.0,142.0,1914.0,Camion Mediano,-4,0,BAJO,0.6025714285714285,7.6544432264701125,65.77319587628865,16,5,1,1,3,0.274914089347079,0,1,0,0,0,1,0
VJ-00055,2025-01-19 00:00:00,2025-01-19 01:18:10.633415082,CHF-002,VEH-007,11.0,37.4,3396.0,3500,75,78,78.1772235847,3396.0,1,1331.0,322.0,185.0,1838.0,Furgon,3,0,BAJO,0.9702857142857143,8.130647968160584,49.14438502673797,0,6,1,1,6,0.29411764705882354,0,1,0,0,0,0,0
VJ-00056,2025-01-19 08:00:00,2025-01-19 09:35:19.673508864,CHF-012,VEH-005,2.0,50.0,3391.0,4000,90,95,95.32789181439999,3391.0,1,1836.0,416.0,302.0,2554.0,Camion Liviano,5,0,BAJO,0.84775,8.129174996911793,51.08,8,6,1,1,7,0.04,0,0,1,0,0,0,0
VJ-00057,2025-01-19 16:00:00,2025-01-19 17:08:18.332252172,CHF-004,VEH-005,4.0,45.0,1959.0,6000,75,68,68.3055375362,,1,1275.0,446.0,373.0,2094.0,Camion Liviano,-7,0,BAJO,0.3265,7.580699752224563,46.53333333333333,16,6,1,1,4,0.08888888888888889,0,1,0,0,0,1,0
VJ-00058,2025-01-20 00:00:00,2025-01-20 01:00:00.000000000,CHF-006,VEH-004,4.0,50.1,1063.0,5000,90,60,60.0,1063.0,1,1680.0,545.0,161.0,2386.0,Camion Mediano,-30,0,BAJO,0.2126,6.96979066990159,47.624750499002,0,0,0,1,4,0.07984031936127745,0,0,1,0,0,0,0
VJ-00059,2025-01-20 08:00:00,2025-01-20 09:50:54.235122414,CHF-001,VEH-003,4.0,52.2,2283.0,4000,105,111,110.9039187069,2283.0,1,1414.0,593.0,263.0,2270.0,Camion Mediano,6,0,BAJO,0.57075,7.7336835707759,43.486590038314176,8,0,0,1,6,0.07662835249042145,0,0,0,1,0,0,0
VJ-00060,2025-01-20 16:00:00,2025-01-20 18:16:05.538231300,CHF-002,VEH-005,6.0,47.8,3134.0,5000,105,136,136.092303855,3134.0,0,1277.0,547.0,310.0,2134.0,Camion Liviano,31,1,ALTO,0.6268,8.050384453067021,44.64435146443515,16,0,0,1,7,0.12552301255230125,2,0,0,1,0,1,0
VJ-00061,2025-01-21 00:00:00,2025-01-21 00:32:23.429682690,CHF-003,VEH-006,10.0,22.6,1623.0,5000,60,32,32.3904947115,1623.0,1,792.0,342.0,386.0,1520.0,Camion Liviano,-28,0,BAJO,0.3246,7.392647520721623,67.2566371681416,0,1,0,1,3,0.44247787610619466,0,0,0,0,0,0,0
VJ-00062,2025-01-21 08:00:00,2025-01-21 10:00:32.934254796,CHF-001,VEH-008,2.0,53.7,803.0,4000,105,121,120.54890424659999,803.0,0,1722.0,422.0,283.0,2427.0,Furgon,16,1,MEDIO,0.20075,6.6895992691789665,45.19553072625698,8,1,0,1,7,0.037243947858472994,1,0,0,1,0,0,0
VJ-00063,2025-01-21 16:00:00,2025-01-21 17:54:05.192759028,CHF-009,VEH-005,7.0,61.9,2933.0,6000,120,114,114.08654598380001,2933.0,1,2072.0,722.0,177.0,2971.0,Camion Liviano,-6,0,BAJO,0.48883333333333334,7.984121958702927,47.996768982229405,16,1,0,1,2,0.11308562197092084,0,0,0,0,1,1,0
VJ-00064,2025-01-22 00:00:00,2025-01-22 00:58:53.769706506,CHF-012,VEH-008,8.0,34.4,1945.0,4000,60,59,58.896161775100005,1945.0,1,1255.0,619.0,288.0,2162.0,Furgon,-1,0,BAJO,0.48625,7.57353126274595,62.84883720930233,0,2,0,1,8,0.23255813953488372,0,0,0,0,0,0,0
VJ-00065,2025-01-22 08:00:00,2025-01-22 08:56:02.869608438,CHF-012,VEH-007,8.0,45.0,2193.0,5000,75,56,56.0478268073,2193.0,1,1381.0,625.0,196.0,2202.0,Furgon,-19,0,BAJO,0.4386,7.693481640835175,48.93333333333333,8,2,0,1,9,0.17777777777777778,0,1,0,0,0,0,0
VJ-00066,2025-01-22 16:00:00,2025-01-22 17:53:58.787333856,CHF-004,VEH-001,8.0,59.3,3446.0,5000,120,114,113.9797888976,3446.0,1,1975.0,635.0,393.0,3003.0,Camion Mediano,-6,0,BAJO,0.6892,8.145259566516865,50.64080944350759,16,2,0,1,5,0.13490725126475547,0,0,0,0,1,1,0
VJ-00067,2025-01-23 00:00:00,2025-01-23 01:23:24.048162276,CHF-010,VEH-004,3.0,21.8,2322.0,6000,60,83,83.4008027046,2322.0,0,728.0,681.0,220.0,1629.0,Camion Mediano,23,1,MEDIO,0.387,7.750614732770409,74.72477064220183,0,3,0,1,6,0.13761467889908258,1,0,0,0,0,0,0
VJ-00068,2025-01-23 08:00:00,2025-01-23 10:10:29.267661348,CHF-007,VEH-004,9.0,58.4,1775.0,3500,120,130,130.4877943558,1775.0,1,1726.0,329.0,306.0,2361.0,Camion Mediano,10,0,BAJO,0.5071428571428571,7.4821189235521155,40.428082191780824,8,3,0,1,5,0.1541095890410959,0,0,0,0,1,0,0
VJ-00069,2025-01-23 16:00:00,2025-01-23 18:01:10.896533844,CHF-001,VEH-001,4.0,46.1,1610.0,6000,90,121,121.18160889740001,1610.0,0,1174.0,483.0,107.0,1764.0,Camion Mediano,31,1,ALTO,0.2683333333333333,7.384610383176974,38.264642082429496,16,3,0,1,8,0.08676789587852494,2,0,1,0,0,1,0
VJ-00070,2025-01-24 00:00:00,2025-01-24 01:36:11.604840096,CHF-002,VEH-002,7.0,37.0,1753.0,4000,75,96,96.1934140016,1753.0,0,1167.0,570.0,220.0,1957.0,Camion Mediano,21,1,MEDIO,0.43825,7.469654172932128,52.891891891891895,0,4,0,1,8,0.1891891891891892,1,1,0,0,0,0,0
VJ-00071,2025-01-24 08:00:00,2025-01-24 09:52:54.213613242,CHF-007,VEH-007,8.0,49.1,855.0,6000,105,113,112.9035602207,855.0,1,1386.0,469.0,363.0,2218.0,Furgon,8,0,BAJO,0.1425,6.752270376141742,45.17311608961303,8,4,0,1,6,0.1629327902240326,0,0,0,1,0,0,0
VJ-00072,2025-01-24 16:00:00,2025-01-24 18:01:23.449288260,CHF-006,VEH-003,8.0,46.3,2884.0,6000,90,121,121.390821471,2884.0,0,1441.0,722.0,283.0,2446.0,Camion Mediano,31,1,ALTO,0.4806666666666667,7.9672801789422,52.829373650107996,16,4,0,1,5,0.17278617710583155,2,0,1,0,0,1,0
VJ-00073,2025-01-25 00:00:00,2025-01-25 01:22:54.112611438,CHF-001,VEH-002,5.0,35.5,3013.0,5000,75,83,82.90187685730001,3013.0,1,1342.0,541.0,233.0,2116.0,Camion Mediano,8,0,BAJO,0.6026,8.01102337918644,59.605633802816904,0,5,1,1,9,0.14084507042253522,0,1,0,0,0,0,0
VJ-00074,2025-01-25 08:00:00,2025-01-25 09:44:54.227230938,CHF-012,VEH-003,5.0,41.9,1353.0,3500,90,105,104.9037871823,1353.0,1,1195.0,684.0,381.0,2260.0,Camion Mediano,15,0,BAJO,0.38657142857142857,7.21081845347222,53.937947494033416,8,5,1,1,10,0.11933174224343676,0,0,1,0,0,0,0
VJ-00075,2025-01-25 16:00:00,2025-01-25 17:39:39.703370184,CHF-009,VEH-003,6.0,53.6,1411.0,4000,105,100,99.6617228364,1411.0,1,1387.0,726.0,356.0,2469.0,Camion Mediano,-5,0,BAJO,0.35275,7.252762418053187,46.0634328358209,16,5,1,1,3,0.11194029850746269,0,0,0,1,0,1,0
VJ-00076,2025-01-26 00:00:00,2025-01-26 01:16:11.869481130,CHF-007,VEH-002,2.0,36.0,3123.0,6000,75,76,76.19782468550001,3123.0,1,1052.0,552.0,197.0,1801.0,Camion Mediano,1,0,BAJO,0.5205,8.046869510959576,50.02777777777778,0,6,1,1,7,0.05555555555555555,0,1,0,0,0,0,0
VJ-00077,2025-01-26 08:00:00,2025-01-26 09:47:26.782270836,CHF-012,VEH-001,9.0,61.2,572.0,6000,120,107,107.4463711806,572.0,1,1800.0,755.0,263.0,2818.0,Camion Mediano,-13,0,BAJO,0.09533333333333334,6.35088571671474,46.045751633986924,8,6,1,1,11,0.14705882352941177,0,0,0,0,1,0,0
